date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:32	2294/2294	---M--	200	added ('OK')	image/jpeg	etag:%222054d1-8f6-5618ed279c800%22	https://wrraptheme.com/templates/compass/html/assets/images/xs/avatar8.jpg	wrraptheme.com/templates/compass/html/assets/images/xs/avatar8.jpg	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:33	3304/3304	---M--	200	added ('OK')	image/jpeg	etag:%222054d0-ce8-5618ed279c800%22	https://wrraptheme.com/templates/compass/html/assets/images/xs/avatar9.jpg	wrraptheme.com/templates/compass/html/assets/images/xs/avatar9.jpg	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:35	151129/151129	---M--	200	added ('OK')	image/png	etag:%222054a4-24e59-5614190d1f280%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/1.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/1.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:38	158025/158025	---M--	200	added ('OK')	image/png	etag:%222054a7-26949-561419a5b5a80%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/15.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/15.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:39	230336/230336	---M--	200	added ('OK')	image/png	etag:%2220549e-383c0-5614198ed2480%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/13.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/13.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:41	102846/102846	---M--	200	added ('OK')	image/png	etag:%222054a0-191be-56141938fda00%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/5.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/5.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:41	411619/411619	---M--	200	added ('OK')	image/png	etag:%222054a6-647e3-5614192f74380%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/4.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/4.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:45	168155/168155	---M--	200	added ('OK')	image/png	etag:%222054aa-290db-5614194a28280%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/7.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/7.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:45	384647/384647	---M--	200	added ('OK')	image/png	etag:%222054a5-5de87-5614199c2c400%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/14.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/14.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:52:45	136455/136455	---M--	200	added ('OK')	image/png	etag:%2220549c-21507-56141951c9480%22	https://wrraptheme.com/templates/compass/html/assets/images/ecommerce/8.png	wrraptheme.com/templates/compass/html/assets/images/ecommerce/8.png	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
